year,max income tax,max capital gains tax
2021,37,23.8
2020,37,23.8
2019,37,23.8
2018,37,23.8
2017,39.6,25.1
2016,39.6,25.1
2015,39.6,25.1
2014,39.6,25.1
2013,39.6,25.1
2012,35,15
2011,35,15
2010,35,15
2009,35,15.35
2008,35,15.35
2007,35,15.7
2006,35,15.7
2005,35,16.05
2004,35,16.05
2003,35,21.05
2002,38.6,21.16
2001,39.1,21.17
2000,39.6,21.19
1999,39.6,21.19
1998,39.6,21.19
1997,39.6,29.19
1996,39.6,29.19
1995,39.6,29.19
1994,39.6,29.19
1993,39.6,29.19
1992,31,28.93
1991,31,28.93
1990,28,28
1989,28,28
1988,28,28
1987,38.5,28
1986,50,20
1985,50,20
1984,50,20
1983,50,20
1982,50,20
1981,70,28
1980,70,28
1979,70,28
1978,70,39.875
1977,70,39.875
1976,70,39.875
1975,70,36.5
1974,70,36.5
1973,70,36.5
1972,70,36.5
1971,70,34.25
1970,70,32.21
1969,70,27.5
1968,70,26.9
1967,70,25
1966,70,25
1965,70,25
1964,77,25
1963,91,25
1962,91,25
1961,91,25
1960,91,25
1959,91,25
1958,91,25
1957,91,25
1956,91,25
1955,91,25
1954,91,25
1953,92,25
1952,92,25
1951,91,25
1950,91,25
1949,91,25
1948,91,25
1947,91,25
1946,91,25
1945,94,25
1944,94,25
